Age,Male_Average,Male_SD,Female_Average,Female_SD
0,50,1.87,49.3,1.88
1,75.7,2.37,74,2.58
2,87.6,3.08,86.2,3.24
3,94.2,4.03,93.6,4.09
4,101.8,4.34,101.1,4.53
5,109.4,4.61,108.1,4.91
6,116.2,4.94,114.6,5.33
7,122.1,5.36,120.8,5.79
8,127.4,5.86,126.9,6.26
9,132.6,6.38,133,6.67
10,138,6.88,139.1,6.97
11,143.9,7.3,145.1,7.12
12,150.2,7.58,150.8,7.11
13,156.9,7.72,155.7,6.97
14,163.3,7.7,159.6,6.76
15,169,7.55,162.3,6.55
16,173.2,7.34,163.5,6.41
17,175.8,7.11,163.4,6.39
18,176.5,6.97,162.7,6.47
19,176.4,6.99,162.5,6.53
20,176.3,7.26,163.1,7.26
21,176.3,7.26,163.1,7.26
22,176.3,7.26,163.1,7.26
23,176.3,7.26,163.1,7.26
24,176.3,7.26,163.1,7.26
25,176.3,7.26,163.1,7.26
26,176.3,7.26,163.1,7.26
27,176.3,7.26,163.1,7.26
28,176.3,7.26,163.1,7.26
29,176.3,7.26,163.1,7.26
30,176.4,7.26,163.4,7.11
31,176.4,7.26,163.4,7.11
32,176.4,7.26,163.4,7.11
33,176.4,7.26,163.4,7.11
34,176.4,7.26,163.4,7.11
35,176.4,7.26,163.4,7.11
36,176.4,7.26,163.4,7.11
37,176.4,7.26,163.4,7.11
38,176.4,7.26,163.4,7.11
39,176.4,7.26,163.4,7.11
40,176.8,7.39,163.1,6.96
41,176.8,7.39,163.1,6.96
42,176.8,7.39,163.1,6.96
43,176.8,7.39,163.1,6.96
44,176.8,7.39,163.1,6.96
45,176.8,7.39,163.1,6.96
46,176.8,7.39,163.1,6.96
47,176.8,7.39,163.1,6.96
48,176.8,7.39,163.1,6.96
49,176.8,7.39,163.1,6.96
50,176.6,7.57,162.2,6.17
51,176.6,7.57,162.2,6.17
52,176.6,7.57,162.2,6.17
53,176.6,7.57,162.2,6.17
54,176.6,7.57,162.2,6.17
55,176.6,7.57,162.2,6.17
56,176.6,7.57,162.2,6.17
57,176.6,7.57,162.2,6.17
58,176.6,7.57,162.2,6.17
59,176.6,7.57,162.2,6.17
60,174.9,7.42,161.6,6.17
61,174.9,7.42,161.6,6.17
62,174.9,7.42,161.6,6.17
63,174.9,7.42,161.6,6.17
64,174.9,7.42,161.6,6.17
65,174.9,7.42,161.6,6.17
66,174.9,7.42,161.6,6.17
67,174.9,7.42,161.6,6.17
68,174.9,7.42,161.6,6.17
69,174.9,7.42,161.6,6.17
70,173.2,6.96,159.1,6.6
71,173.2,6.96,159.1,6.6
72,173.2,6.96,159.1,6.6
73,173.2,6.96,159.1,6.6
74,173.2,6.96,159.1,6.6
75,173.2,6.96,159.1,6.6
76,173.2,6.96,159.1,6.6
77,173.2,6.96,159.1,6.6
78,173.2,6.96,159.1,6.6
79,173.2,6.96,159.1,6.6
80,170.7,6.63,155.9,6.32
