Year,K1,K2,K3,K4,K5
1990,2.0213104777040933,1.1767327508006933,1.0004593409665923,0.030482581307030014,0.011982807824142835
1991,2.1493757233722204,1.2617660012495777,1.020454149723966,0.031137013100078867,0.011266682371739063
1992,2.142473379162961,1.2802414009418719,1.0294157372843793,0.03261634078673416,0.011205614012620322
1993,2.1264486602922834,1.2838232974843682,1.0503919745860588,0.03457879017335435,0.013616010861462477
1994,2.1299959457927513,1.3000363149369678,1.061491371839976,0.0384285047276668,0.016139971985620057
1995,2.135364035587518,1.3065143012130909,1.0693771996161354,0.043980550613891264,0.01940041418942527
1996,2.1272406966147157,1.3102656578409821,1.106276076375474,0.04473536811477395,0.02504810900641269
1997,2.1281512852558326,1.320827733213462,1.1291472984840483,0.04096432931333091,0.027188714146016087
1998,2.1368022396543886,1.3370779331514326,1.1578416325602547,0.03757034447476125,0.030287204411095954
1999,2.1464170194082657,1.3417393129967168,1.1868495260529328,0.038940233275518266,0.03083857400343057
2000,2.159526178176321,1.3490189497908451,1.2362653826857783,0.03792697815303322,0.03099224851331384
2001,2.1652085387700617,1.3612836569460944,1.276797145785048,0.038250112018185206,0.03169294995792489
2002,2.17183184924961,1.385932072686049,1.2927511682627983,0.03880477982612823,0.03419104804212996
2003,2.1928762110909203,1.4238709417830577,1.3377324978424334,0.041221638568344585,0.034323993867665416
2004,2.2056328195448627,1.4427070371459694,1.3710362927075221,0.04460231220972137,0.03668378576669114
2005,2.2130613843985714,1.4685274199931324,1.4091264890877555,0.04560151571507538,0.039336263990743296
2006,2.218533414521578,1.49125222524308,1.4638705849044162,0.046851305282019265,0.04018042406636752
2007,2.2232218995990682,1.5098157715767486,1.5060291148462692,0.04604574584262957,0.03922976372776664
2008,2.236197841433514,1.537145269894887,1.55477529130277,0.04748253664896258,0.04163055475306861
2009,2.231337891486863,1.5477583657232978,1.5915269718653966,0.04993926209000117,0.039391745527888856
2010,2.2608879716357095,1.5764759838422324,1.638143620680531,0.05108394630541003,0.039300770845460485
2011,2.3002039823261793,1.6247478106408229,1.7149573561213525,0.05493440636681404,0.04099166363412012
2012,2.333010668548153,1.683513249293928,1.8110219450984386,0.057090369727127284,0.04396851579465879
