,Rate_Stage_1_2,Rate_Stage_3,Rate_Stage_4,Rate_Stage_5
2012,"(0.01, 0.05)","(0.01, 0.01)","(0.14, 0.33)","(1.0, 1.0)"
2013,"(0.01, 0.05)","(0.01, 0.01)","(0.16, 0.38)","(1.0, 1.0)"
2014,"(0.02, 0.07)","(0.02, 0.02)","(0.16, 0.39)","(1.0, 1.0)"
2015,"(0.02, 0.08)","(0.01, 0.01)","(0.13, 0.32)","(0.82, 1.0)"
2016,"(0.04, 0.13)","(0.02, 0.02)","(0.27, 0.61)","(1.0, 1.0)"
2017,"(0.04, 0.12)","(0.08, 0.09)","(0.39, 0.92)","(1.0, 1.0)"
2018,"(0.04, 0.14)","(0.11, 0.12)","(0.5, 1.0)","(1.0, 1.0)"
2019,"(0.05, 0.16)","(0.14, 0.15)","(0.54, 1.0)","(0.99, 1.0)"
2020,"(0.05, 0.16)","(0.15, 0.17)","(0.53, 1.0)","(0.92, 1.0)"
2021,"(0.09, 0.28)","(0.07, 0.08)","(0.32, 0.7)","(0.84, 1.0)"
2022,"(0.1, 0.3)","(0.09, 0.09)","(0.31, 0.69)","(0.89, 1.0)"
2023,"(0.11, 0.31)","(0.1, 0.11)","(0.33, 0.75)","(0.94, 1.0)"
