stage,ethnicity,age_group,year,prevalence,lower,upper
K1,overall,Overall,1990,3.5,2.46,4.55
K2,overall,Overall,1990,1.57,1.37,1.77
K3a,overall,Overall,1990,0.7,0.63,0.77
K3b,overall,Overall,1990,0.45,0.39,0.5
K4,overall,Overall,1990,0.1,0.07,0.13
K5,overall,Overall,1990,0.03,0.02,0.04
K1,chn,Overall,1990,2.83,1.97,3.69
K2,chn,Overall,1990,1.59,1.35,1.83
K3a,chn,Overall,1990,0.8,0.72,0.88
K3b,chn,Overall,1990,0.48,0.41,0.55
K4,chn,Overall,1990,0.11,0.08,0.14
K5,chn,Overall,1990,0.03,0.02,0.04
K1,mal,Overall,1990,4.15,2.98,5.32
K2,mal,Overall,1990,1.43,1.32,1.54
K3a,mal,Overall,1990,0.56,0.5,0.62
K3b,mal,Overall,1990,0.43,0.39,0.48
K4,mal,Overall,1990,0.1,0.07,0.12
K5,mal,Overall,1990,0.03,0.02,0.04
K1,ind,Overall,1990,3.22,2.13,4.32
K2,ind,Overall,1990,2.37,1.93,2.8
K3a,ind,Overall,1990,1.12,1.03,1.2
K3b,ind,Overall,1990,0.5,0.46,0.54
K4,ind,Overall,1990,0.11,0.09,0.14
K5,ind,Overall,1990,0.03,0.01,0.04
K1,overall,18-30,1990,1.13,0.74,1.53
K2,overall,18-30,1990,0.09,0.08,0.11
K3a,overall,18-30,1990,0.03,0.03,0.03
K3b,overall,18-30,1990,0.0,0.0,0.0
K4,overall,18-30,1990,0.0,0.0,0.0
K5,overall,18-30,1990,0.0,0.0,0.0
K1,overall,31-40,1990,2.79,1.76,3.82
K2,overall,31-40,1990,0.33,0.24,0.42
K3a,overall,31-40,1990,0.07,0.07,0.07
K3b,overall,31-40,1990,0.0,0.0,0.0
K4,overall,31-40,1990,0.0,0.0,0.0
K5,overall,31-40,1990,0.0,0.0,0.0
K1,overall,41-50,1990,3.73,2.24,5.22
K2,overall,41-50,1990,0.8,0.6,1.01
K3a,overall,41-50,1990,0.21,0.19,0.24
K3b,overall,41-50,1990,0.03,0.02,0.04
K4,overall,41-50,1990,0.0,0.0,0.0
K5,overall,41-50,1990,0.0,0.0,0.0
K1,overall,51-60,1990,5.58,3.93,7.23
K2,overall,51-60,1990,2.39,1.96,2.82
K3a,overall,51-60,1990,1.05,0.89,1.21
K3b,overall,51-60,1990,0.33,0.27,0.39
K4,overall,51-60,1990,0.03,0.03,0.04
K5,overall,51-60,1990,0.0,0.0,0.0
K1,overall,61-70,1990,9.19,7.43,10.95
K2,overall,61-70,1990,7.23,6.57,7.88
K3a,overall,61-70,1990,3.66,3.34,3.99
K3b,overall,61-70,1990,2.04,1.68,2.41
K4,overall,61-70,1990,0.38,0.24,0.53
K5,overall,61-70,1990,0.07,0.02,0.11
K1,overall,71-80,1990,10.01,8.14,11.88
K2,overall,71-80,1990,12.93,11.88,13.98
K3a,overall,71-80,1990,6.89,6.31,7.47
K3b,overall,71-80,1990,6.65,6.24,7.06
K4,overall,71-80,1990,1.74,1.41,2.08
K5,overall,71-80,1990,0.53,0.33,0.73
K1,overall,80+,1990,19.32,16.21,22.43
K2,overall,80+,1990,13.04,11.95,14.14
K3a,overall,80+,1990,4.19,3.43,4.95
K3b,overall,80+,1990,3.86,3.1,4.61
K4,overall,80+,1990,1.02,0.67,1.36
K5,overall,80+,1990,0.47,0.36,0.57
K1,overall,Overall,1991,3.69,2.58,4.8
K2,overall,Overall,1991,1.66,1.46,1.87
K3a,overall,Overall,1991,0.69,0.64,0.74
K3b,overall,Overall,1991,0.47,0.41,0.53
K4,overall,Overall,1991,0.11,0.08,0.14
K5,overall,Overall,1991,0.03,0.02,0.05
K1,chn,Overall,1991,2.98,2.06,3.89
K2,chn,Overall,1991,1.7,1.46,1.94
K3a,chn,Overall,1991,0.77,0.72,0.83
K3b,chn,Overall,1991,0.5,0.43,0.58
K4,chn,Overall,1991,0.11,0.08,0.15
K5,chn,Overall,1991,0.04,0.02,0.05
K1,mal,Overall,1991,4.36,3.13,5.6
K2,mal,Overall,1991,1.5,1.38,1.61
K3a,mal,Overall,1991,0.56,0.52,0.6
K3b,mal,Overall,1991,0.46,0.41,0.51
K4,mal,Overall,1991,0.1,0.08,0.13
K5,mal,Overall,1991,0.04,0.02,0.05
K1,ind,Overall,1991,3.42,2.26,4.59
K2,ind,Overall,1991,2.57,2.08,3.06
K3a,ind,Overall,1991,1.12,1.06,1.18
K3b,ind,Overall,1991,0.54,0.48,0.6
