,Rate_Stage_1_2,Rate_Stage_3,Rate_Stage_4,Rate_Stage_5
2012,"(0.2900, 1.0000)","(0.2100, 0.2300)","(1.0000, 1.0000)","(1.0000, 1.0000)"
2013,"(0.3000, 1.0000)","(0.2500, 0.2800)","(1.0000, 1.0000)","(1.0000, 1.0000)"
2014,"(0.3800, 1.0000)","(0.3000, 0.3300)","(1.0000, 1.0000)","(1.0000, 1.0000)"
2015,"(0.4700, 1.0000)","(0.2500, 0.2700)","(1.0000, 1.0000)","(1.0000, 1.0000)"
2016,"(0.7600, 1.0000)","(0.4400, 0.4900)","(1.0000, 1.0000)","(1.0000, 1.0000)"
2017,"(0.7300, 1.0000)","(1.0000, 1.0000)","(1.0000, 1.0000)","(1.0000, 1.0000)"
2018,"(0.8400, 1.0000)","(1.0000, 1.0000)","(1.0000, 1.0000)","(1.0000, 1.0000)"
2019,"(0.9800, 1.0000)","(1.0000, 1.0000)","(1.0000, 1.0000)","(1.0000, 1.0000)"
2020,"(1.0000, 1.0000)","(1.0000, 1.0000)","(1.0000, 1.0000)","(1.0000, 1.0000)"
2021,"(1.0000, 1.0000)","(1.0000, 1.0000)","(1.0000, 1.0000)","(1.0000, 1.0000)"
2022,"(1.0000, 1.0000)","(1.0000, 1.0000)","(1.0000, 1.0000)","(1.0000, 1.0000)"
2023,"(1.0000, 1.0000)","(1.0000, 1.0000)","(1.0000, 1.0000)","(1.0000, 1.0000)"
