albu_case,sim,age_threshold,incident_cases
0,0,55,21388
0,0,50,22855
0,0,45,23736
0,0,40,24202
0,0,35,24471
0,0,30,24576
0,0,25,24596
0,1,55,21504
0,1,50,22993
0,1,45,23830
0,1,40,24341
0,1,35,24626
0,1,30,24750
0,1,25,24778
0,2,55,21450
0,2,50,22865
0,2,45,23757
0,2,40,24287
0,2,35,24560
0,2,30,24664
0,2,25,24694
0,3,55,21407
0,3,50,22918
0,3,45,23789
0,3,40,24280
0,3,35,24563
0,3,30,24684
0,3,25,24712
0,4,55,21487
0,4,50,22865
0,4,45,23707
0,4,40,24230
0,4,35,24506
0,4,30,24617
0,4,25,24652
0,5,55,21288
0,5,50,22773
0,5,45,23681
0,5,40,24175
0,5,35,24445
0,5,30,24583
0,5,25,24618
0,6,55,21332
0,6,50,22740
0,6,45,23615
0,6,40,24121
0,6,35,24425
0,6,30,24540
0,6,25,24563
0,7,55,21293
0,7,50,22743
0,7,45,23581
0,7,40,24076
0,7,35,24378
0,7,30,24508
0,7,25,24534
0,8,55,21337
0,8,50,22709
0,8,45,23615
0,8,40,24117
0,8,35,24382
0,8,30,24495
0,8,25,24519
0,9,55,21366
0,9,50,22828
0,9,45,23772
0,9,40,24283
0,9,35,24542
0,9,30,24655
0,9,25,24691
1,0,55,22117
1,0,50,23763
1,0,45,24855
1,0,40,25440
1,0,35,25774
1,0,30,25934
1,0,25,25974
1,1,55,21928
1,1,50,23698
1,1,45,24753
1,1,40,25332
1,1,35,25693
1,1,30,25835
1,1,25,25877
1,2,55,22315
1,2,50,23999
1,2,45,25040
1,2,40,25623
1,2,35,25959
1,2,30,26104
1,2,25,26146
1,3,55,22225
1,3,50,23923
1,3,45,24909
1,3,40,25508
1,3,35,25830
1,3,30,25994
1,3,25,26035
1,4,55,22084
1,4,50,23775
1,4,45,24859
1,4,40,25504
1,4,35,25899
1,4,30,26031
1,4,25,26066
1,5,55,22072
1,5,50,23742
1,5,45,24791
1,5,40,25396
1,5,35,25761
1,5,30,25903
1,5,25,25933
1,6,55,21956
1,6,50,23664
1,6,45,24752
1,6,40,25394
1,6,35,25697
1,6,30,25842
1,6,25,25862
1,7,55,21954
1,7,50,23654
1,7,45,24675
1,7,40,25292
1,7,35,25639
1,7,30,25788
1,7,25,25829
1,8,55,21903
1,8,50,23583
1,8,45,24605
1,8,40,25258
1,8,35,25598
1,8,30,25735
1,8,25,25775
1,9,55,21897
1,9,50,23525
1,9,45,24555
1,9,40,25179
1,9,35,25519
1,9,30,25652
1,9,25,25684
2,0,55,22450
2,0,50,24380
2,0,45,25568
2,0,40,26302
2,0,35,26672
2,0,30,26847
2,0,25,26881
2,1,55,22850
2,1,50,24763
2,1,45,25958
2,1,40,26686
2,1,35,27074
2,1,30,27255
2,1,25,27305
2,2,55,22674
2,2,50,24516
2,2,45,25703
2,2,40,26406
2,2,35,26797
2,2,30,26952
2,2,25,26990
2,3,55,22557
2,3,50,24486
2,3,45,25675
2,3,40,26422
2,3,35,26806
2,3,30,26984
2,3,25,27027
2,4,55,22474
2,4,50,24337
2,4,45,25568
2,4,40,26297
2,4,35,26673
2,4,30,26858
2,4,25,26899
2,5,55,22457
2,5,50,24284
2,5,45,25462
2,5,40,26234
2,5,35,26624
2,5,30,26792
2,5,25,26849
2,6,55,22630
2,6,50,24481
2,6,45,25745
2,6,40,26482
2,6,35,26861
2,6,30,27019
2,6,25,27056
2,7,55,22609
2,7,50,24440
2,7,45,25573
2,7,40,26356
2,7,35,26720
2,7,30,26888
2,7,25,26931
2,8,55,22385
2,8,50,24362
2,8,45,25592
2,8,40,26318
2,8,35,26707
2,8,30,26878
2,8,25,26921
2,9,55,22403
2,9,50,24254
2,9,45,25465
2,9,40,26181
2,9,35,26574
2,9,30,26739
2,9,25,26791
3,0,55,22695
3,0,50,24740
3,0,45,26109
3,0,40,26911
3,0,35,27375
3,0,30,27595
3,0,25,27642
3,1,55,22969
3,1,50,25022
3,1,45,26380
3,1,40,27121
3,1,35,27612
3,1,30,27812
3,1,25,27863
3,2,55,23085
3,2,50,25168
3,2,45,26531
3,2,40,27332
3,2,35,27781
3,2,30,27967
3,2,25,28011
3,3,55,22995
3,3,50,25110
3,3,45,26458
3,3,40,27297
3,3,35,27739
3,3,30,27941
3,3,25,27982
3,4,55,22895
3,4,50,25007
3,4,45,26455
3,4,40,27300
3,4,35,27739
3,4,30,27929
3,4,25,27987
3,5,55,22897
3,5,50,25016
3,5,45,26371
3,5,40,27157
3,5,35,27639
3,5,30,27834
3,5,25,27877
3,6,55,23009
3,6,50,25106
3,6,45,26421
3,6,40,27259
3,6,35,27708
3,6,30,27887
3,6,25,27937
3,7,55,22987
3,7,50,25113
3,7,45,26434
3,7,40,27213
3,7,35,27648
3,7,30,27849
3,7,25,27901
3,8,55,22898
3,8,50,24994
3,8,45,26307
3,8,40,27155
3,8,35,27595
3,8,30,27778
3,8,25,27843
3,9,55,22678
3,9,50,24768
3,9,45,26172
3,9,40,26962
3,9,35,27454
3,9,30,27650
3,9,25,27705
4,0,55,23076
4,0,50,25329
4,0,45,26769
4,0,40,27646
4,0,35,28146
4,0,30,28378
4,0,25,28434
4,1,55,23155
4,1,50,25400
4,1,45,26920
4,1,40,27830
4,1,35,28345
4,1,30,28550
4,1,25,28608
4,2,55,23313
4,2,50,25612
4,2,45,27130
4,2,40,28026
4,2,35,28529
4,2,30,28748
4,2,25,28806
4,3,55,23381
4,3,50,25664
4,3,45,27074
4,3,40,27989
4,3,35,28494
4,3,30,28717
4,3,25,28786
4,4,55,23452
4,4,50,25701
4,4,45,27216
4,4,40,28079
4,4,35,28626
4,4,30,28854
4,4,25,28907
4,5,55,23224
4,5,50,25475
4,5,45,26997
4,5,40,27902
4,5,35,28426
4,5,30,28659
4,5,25,28707
4,6,55,23240
4,6,50,25467
4,6,45,26880
4,6,40,27793
4,6,35,28280
4,6,30,28499
4,6,25,28550
4,7,55,23051
4,7,50,25285
4,7,45,26756
4,7,40,27647
4,7,35,28131
4,7,30,28367
4,7,25,28409
4,8,55,23205
4,8,50,25442
4,8,45,26885
4,8,40,27823
4,8,35,28332
4,8,30,28562
4,8,25,28617
4,9,55,23112
4,9,50,25333
4,9,45,26860
4,9,40,27763
4,9,35,28280
4,9,30,28485
4,9,25,28540
