,K1,K2,K3a,K3b,K4,K5,Total_CKD,Total_Population
1990,8208.699999999999,3445.7000000000003,882.6999999999998,254.3,64.3,20.900000000000002,12876.599999999997,95131.40000000001
1991,8868.1,3721.2999999999997,887.0000000000001,290.79999999999995,69.2,28.900000000000002,13865.3,97623.29999999999
1992,9078.4,3838.800000000001,879.0,317.29999999999995,83.2,37.6,14234.300000000001,99931.29999999999
1993,9310.5,3962.3000000000006,922.0999999999998,308.6,96.29999999999998,46.8,14646.6,102059.9
1994,9531.900000000001,4094.8,965.3000000000001,288.69999999999993,113.8,54.699999999999996,15049.2,104055.09999999999
1995,9755.0,4228.5,1016.1,271.1,123.8,68.29999999999998,15462.8,106151.9
1996,9965.499999999998,4376.1,1057.8,280.3,121.59999999999998,76.89999999999999,15878.199999999997,108156.29999999999
1997,10203.599999999999,4532.0,1094.2,293.7,110.7,95.2,16329.400000000001,110303.79999999999
1998,10404.800000000001,4700.8,1146.5,314.80000000000007,101.30000000000001,111.10000000000001,16779.3,112554.5
1999,10606.800000000003,4878.3,1207.1000000000001,328.00000000000006,105.5,111.2,17236.9,114751.9
2000,10813.5,5049.400000000001,1264.5,344.4,106.60000000000001,120.60000000000001,17699.0,116759.59999999998
2001,11050.400000000001,5220.6,1322.4999999999998,363.3999999999999,118.4,125.2,18200.500000000004,118912.70000000001
2002,11275.6,5403.599999999999,1379.8,383.1,117.2,127.0,18686.3,121335.8
2003,11356.300000000001,5550.0999999999985,1423.7,395.5,122.89999999999999,136.0,18984.500000000004,121739.5
2004,11543.499999999998,5748.099999999999,1482.7,419.49999999999994,129.5,141.20000000000002,19464.5,123720.3
2005,11764.3,5949.4,1558.6000000000001,442.29999999999995,134.20000000000002,147.29999999999998,19996.099999999995,126050.9
2006,11960.499999999998,6156.699999999999,1647.8,463.0,143.00000000000003,160.59999999999997,20531.599999999995,128882.99999999997
2007,12172.800000000001,6368.599999999999,1738.1999999999998,487.8999999999999,151.2,165.39999999999998,21084.100000000006,132007.8
2008,12391.499999999998,6605.5,1818.2,515.9,156.70000000000002,178.9,21666.700000000004,134957.1
2009,12634.400000000001,6845.299999999999,1917.8000000000002,548.2,161.39999999999998,190.4,22297.500000000004,139327.49999999997
2010,12860.9,7056.199999999999,2014.7000000000003,574.5999999999999,167.1,200.8,22874.299999999996,141690.4
2011,13099.599999999999,7324.300000000001,2126.3,614.5,177.5,213.5,23555.7,143406.9
2012,13340.199999999999,7605.400000000001,2241.4,664.3999999999999,192.30000000000004,231.99999999999997,24275.7,145522.09999999998
2013,13548.299999999996,7875.1,2382.1999999999994,698.1,216.5,241.70000000000002,24961.899999999994,147462.0
2014,13752.200000000003,8100.799999999999,2495.7,737.9000000000001,227.70000000000002,261.30000000000007,25575.600000000002,149112.5
