ethnicity,simulation,year,prevalence,ethnicity_label
0,0,-61,3.345487451095201,Chinese_Male
0,0,-60,3.4890352014101302,Chinese_Male
0,0,-59,3.5255354200988465,Chinese_Male
0,0,-58,3.575241452938402,Chinese_Male
0,0,-57,3.637604837136727,Chinese_Male
0,0,-56,3.7387872264083244,Chinese_Male
0,0,-55,3.793808617163811,Chinese_Male
0,0,-54,3.8505043976084394,Chinese_Male
0,0,-53,3.9646178271716943,Chinese_Male
0,0,-52,4.117135401565672,Chinese_Male
0,0,-51,4.181482944817596,Chinese_Male
0,0,-50,4.232472723344496,Chinese_Male
0,0,-49,4.2748676067121805,Chinese_Male
0,0,-48,4.457393190566319,Chinese_Male
0,0,-47,4.481592708486465,Chinese_Male
0,0,-46,4.562808648379466,Chinese_Male
0,0,-45,4.743898949433839,Chinese_Male
0,0,-44,4.921947108631968,Chinese_Male
0,0,-43,4.981629992493975,Chinese_Male
0,0,-42,5.065346840924909,Chinese_Male
0,0,-41,5.221558258080528,Chinese_Male
0,0,-40,5.493487589557459,Chinese_Male
0,0,-39,5.626436030112267,Chinese_Male
0,0,-38,5.809680338313235,Chinese_Male
0,0,-37,5.899467510841919,Chinese_Male
0,0,-36,6.07170043861239,Chinese_Male
0,0,-35,6.197745293705162,Chinese_Male
0,0,-34,6.51255636551589,Chinese_Male
0,0,-33,6.624739426915875,Chinese_Male
0,0,-32,6.9010188718882395,Chinese_Male
0,0,-31,7.054793329507712,Chinese_Male
0,0,-30,7.409211922949764,Chinese_Male
0,0,-29,7.5865756070640185,Chinese_Male
0,0,-28,7.647784094801013,Chinese_Male
0,0,-27,7.751818306573349,Chinese_Male
0,0,-26,7.978595271688634,Chinese_Male
0,0,-25,8.173945977585346,Chinese_Male
0,0,-24,8.328013664360519,Chinese_Male
0,0,-23,8.46861518737331,Chinese_Male
0,0,-22,8.521381808051261,Chinese_Male
0,0,-21,8.617581686763856,Chinese_Male
0,0,-20,8.5890971697616,Chinese_Male
0,0,-19,8.773326258070222,Chinese_Male
0,0,-18,8.780106015866803,Chinese_Male
0,0,-17,8.827529437028023,Chinese_Male
0,0,-16,8.929311121116614,Chinese_Male
0,0,-15,8.938354921809804,Chinese_Male
0,0,-14,9.062494287959934,Chinese_Male
0,0,-13,8.929591479481841,Chinese_Male
0,0,-12,9.182971923369939,Chinese_Male
0,0,-11,9.225375876420081,Chinese_Male
0,0,-10,9.296914899653848,Chinese_Male
0,0,-9,9.54707940371159,Chinese_Male
0,0,-8,9.59418070444104,Chinese_Male
0,0,-7,9.697191650122395,Chinese_Male
0,0,-6,9.709793264097835,Chinese_Male
0,0,-5,9.96651720154295,Chinese_Male
0,0,-4,10.12540549094074,Chinese_Male
0,0,-3,10.17592962814874,Chinese_Male
0,0,-2,10.434237404688226,Chinese_Male
0,0,-1,10.684092301409025,Chinese_Male
0,1,-61,3.390732706997046,Chinese_Male
0,1,-60,3.481258748509513,Chinese_Male
0,1,-59,3.578760613356989,Chinese_Male
0,1,-58,3.5553790004220773,Chinese_Male
0,1,-57,3.6156621806124436,Chinese_Male
0,1,-56,3.7603157517043413,Chinese_Male
0,1,-55,3.8596243800390195,Chinese_Male
0,1,-54,3.938225720815346,Chinese_Male
0,1,-53,3.9215241551372197,Chinese_Male
0,1,-52,4.065838481611169,Chinese_Male
0,1,-51,4.1661179156240395,Chinese_Male
0,1,-50,4.247596413524899,Chinese_Male
0,1,-49,4.29400880495119,Chinese_Male
0,1,-48,4.3510622461348705,Chinese_Male
0,1,-47,4.6117983073272155,Chinese_Male
0,1,-46,4.718429680043159,Chinese_Male
0,1,-45,4.778645301066917,Chinese_Male
0,1,-44,5.008226654360127,Chinese_Male
0,1,-43,4.985580531742583,Chinese_Male
0,1,-42,5.08081354883613,Chinese_Male
0,1,-41,5.275014796006032,Chinese_Male
0,1,-40,5.482145220136486,Chinese_Male
0,1,-39,5.689948256215792,Chinese_Male
0,1,-38,5.818913778138908,Chinese_Male
0,1,-37,6.0586653003714614,Chinese_Male
0,1,-36,6.256570123608947,Chinese_Male
0,1,-35,6.445870866821296,Chinese_Male
0,1,-34,6.596324879248579,Chinese_Male
0,1,-33,6.834964491396672,Chinese_Male
0,1,-32,7.011309127831658,Chinese_Male
0,1,-31,7.341714921661711,Chinese_Male
0,1,-30,7.597139327289495,Chinese_Male
0,1,-29,7.640038631346578,Chinese_Male
0,1,-28,7.803616686074388,Chinese_Male
0,1,-27,7.9422258817071505,Chinese_Male
0,1,-26,8.167865377335765,Chinese_Male
0,1,-25,8.32716442577513,Chinese_Male
0,1,-24,8.35216783699384,Chinese_Male
0,1,-23,8.499800758848906,Chinese_Male
0,1,-22,8.773854297255886,Chinese_Male
0,1,-21,8.691086648348763,Chinese_Male
0,1,-20,8.787617926600024,Chinese_Male
0,1,-19,8.79101441584859,Chinese_Male
0,1,-18,8.957984987014834,Chinese_Male
0,1,-17,8.881213986614652,Chinese_Male
0,1,-16,8.893291310220622,Chinese_Male
0,1,-15,9.043576067631799,Chinese_Male
0,1,-14,9.004002997678628,Chinese_Male
0,1,-13,8.911164753358271,Chinese_Male
0,1,-12,8.967426649571697,Chinese_Male
0,1,-11,9.075400247459788,Chinese_Male
0,1,-10,9.395274935214784,Chinese_Male
0,1,-9,9.394965013690296,Chinese_Male
0,1,-8,9.58843797856049,Chinese_Male
0,1,-7,9.872593049478615,Chinese_Male
0,1,-6,10.063088420848297,Chinese_Male
0,1,-5,10.264142076716727,Chinese_Male
0,1,-4,10.091779412928238,Chinese_Male
0,1,-3,10.327868852459018,Chinese_Male
0,1,-2,10.193556216249014,Chinese_Male
0,1,-1,10.496222176842965,Chinese_Male
0,2,-61,3.489207675724589,Chinese_Male
0,2,-60,3.592721240085023,Chinese_Male
0,2,-59,3.6142440755290837,Chinese_Male
0,2,-58,3.61248355140651,Chinese_Male
0,2,-57,3.700994733762434,Chinese_Male
0,2,-56,3.7076904676474105,Chinese_Male
0,2,-55,3.7844063653244957,Chinese_Male
0,2,-54,3.7951014566356562,Chinese_Male
0,2,-53,3.8875028351100025,Chinese_Male
0,2,-52,3.9342507304235346,Chinese_Male
0,2,-51,4.095877782167786,Chinese_Male
0,2,-50,4.059630549854164,Chinese_Male
0,2,-49,4.289755205342521,Chinese_Male
0,2,-48,4.3361759139144676,Chinese_Male
0,2,-47,4.452191444232103,Chinese_Male
0,2,-46,4.66240610864423,Chinese_Male
0,2,-45,4.735723337284879,Chinese_Male
0,2,-44,4.769453027810105,Chinese_Male
0,2,-43,4.865089084660056,Chinese_Male
0,2,-42,5.0015466707911225,Chinese_Male
0,2,-41,5.265468985662193,Chinese_Male
0,2,-40,5.346036787084822,Chinese_Male
0,2,-39,5.699288289466311,Chinese_Male
0,2,-38,5.920481616221307,Chinese_Male
0,2,-37,5.939724423136745,Chinese_Male
0,2,-36,6.187697103708269,Chinese_Male
0,2,-35,6.219321430497869,Chinese_Male
0,2,-34,6.437699395797315,Chinese_Male
0,2,-33,6.633572412818429,Chinese_Male
0,2,-32,6.878260565106263,Chinese_Male
0,2,-31,7.225207366059784,Chinese_Male
0,2,-30,7.386591031686648,Chinese_Male
0,2,-29,7.577952538631346,Chinese_Male
0,2,-28,7.687170354133845,Chinese_Male
0,2,-27,7.792987512007684,Chinese_Male
0,2,-26,8.095598609725043,Chinese_Male
0,2,-25,8.222149534319211,Chinese_Male
0,2,-24,8.2624523386415,Chinese_Male
0,2,-23,8.406244044422113,Chinese_Male
0,2,-22,8.495263964340436,Chinese_Male
0,2,-21,8.486322826790808,Chinese_Male
0,2,-20,8.690992779466278,Chinese_Male
0,2,-19,8.723799416290793,Chinese_Male
0,2,-18,8.831690917499733,Chinese_Male
0,2,-17,8.755950037579185,Chinese_Male
0,2,-16,8.936515083295813,Chinese_Male
0,2,-15,9.010921229273249,Chinese_Male
0,2,-14,9.03507649564057,Chinese_Male
0,2,-13,8.88168199156056,Chinese_Male
0,2,-12,9.123511158184217,Chinese_Male
0,2,-11,9.206628922800045,Chinese_Male
0,2,-10,9.295023360508447,Chinese_Male
0,2,-9,9.47292363857621,Chinese_Male
0,2,-8,9.617151607963246,Chinese_Male
0,2,-7,9.604672230681754,Chinese_Male
0,2,-6,9.783558186935844,Chinese_Male
0,2,-5,9.90190127469601,Chinese_Male
0,2,-4,10.216393702033388,Chinese_Male
0,2,-3,10.161935225909637,Chinese_Male
0,2,-2,10.284570111036953,Chinese_Male
0,2,-1,10.52276904227078,Chinese_Male
0,3,-61,3.3614563649429114,Chinese_Male
