Year,Population_50_Plus,Diabetes_Cases,Prevalence_Percentage
1990,847920.0,141600.0,16.7
1991,881480.0,148116.0,16.8
1992,915440.0,154768.0,16.91
1993,942720.0,161780.0,17.16
1994,966640.0,168692.0,17.45
1995,996560.0,175392.0,17.6
1996,1016680.0,181708.0,17.87
1997,1050000.0,189256.0,18.02
1998,1108920.0,197572.0,17.82
1999,1167360.0,206624.0,17.7
2000,1231560.0,216620.0,17.59
2001,1298880.0,227956.0,17.55
2002,1368800.0,239292.0,17.48
2003,1420600.0,246752.0,17.37
2004,1495920.0,258968.0,17.31
2005,1578680.0,273420.0,17.32
2006,1663240.0,288676.0,17.36
2007,1751720.0,303820.0,17.34
2008,1843960.0,321724.0,17.45
2009,1938360.0,339924.0,17.54
2010,2035360.0,359236.0,17.65
2011,2130960.0,379308.0,17.8
2012,2226880.0,400900.0,18.0
2013,2320920.0,423956.0,18.27
2014,2414120.0,446736.0,18.51
2015,2509840.0,470516.0,18.75
2016,2602680.0,495400.0,19.03
2017,2694560.0,521172.0,19.34
2018,2779520.0,547488.0,19.7
2019,2860440.0,573328.0,20.04
2020,2937800.0,598948.0,20.39
2021,3008720.0,623432.0,20.72
2022,3083320.0,649348.0,21.06
2023,3162720.0,677044.0,21.41
2024,3248760.0,709192.0,21.83
2025,3326840.0,738104.0,22.19
2026,3399360.0,767092.0,22.57
2027,3463520.0,794920.0,22.95
2028,3532040.0,822588.0,23.29
2029,3588720.0,850628.0,23.7
2030,3649760.0,880348.0,24.12
2031,3710160.0,908196.0,24.48
2032,3764160.0,933776.0,24.81
2033,3815360.0,958776.0,25.13
2034,3864320.0,982548.0,25.43
2035,3903200.0,1004076.0,25.72
2036,3941440.0,1026392.0,26.04
2037,3973880.0,1047724.0,26.37
2038,3998840.0,1066604.0,26.67
2039,4039800.0,1088124.0,26.94
2040,4084640.0,1108092.0,27.13
2041,4111480.0,1123460.0,27.32
2042,4144520.0,1139468.0,27.49
2043,4169800.0,1154248.0,27.68
2044,4192040.0,1170068.0,27.91
2045,4214280.0,1182080.0,28.05
2046,4228000.0,1194216.0,28.25
2047,4239320.0,1206992.0,28.47
2048,4250320.0,1219848.0,28.7
2049,4253120.0,1231520.0,28.96
2050,4249600.0,1244220.0,29.28
