Year,Prevalence_Percentage
1990,16.7
1991,16.8
1992,16.91
1993,17.16
1994,17.45
1995,17.6
1996,17.87
1997,18.02
1998,17.82
1999,17.7
2000,17.59
2001,17.55
2002,17.48
2003,17.37
2004,17.31
2005,17.32
2006,17.36
2007,17.34
2008,17.45
2009,17.54
2010,17.65
2011,17.8
2012,18.0
2013,18.27
2014,18.51
2015,18.75
2016,19.03
2017,19.34
2018,19.7
2019,20.04
2020,20.39
2021,20.72
2022,21.06
2023,21.41
2024,21.83
2025,22.19
2026,22.57
2027,22.95
2028,23.29
2029,23.7
2030,24.12
2031,24.48
2032,24.81
2033,25.13
2034,25.43
2035,25.72
2036,26.04
2037,26.37
2038,26.67
2039,26.94
2040,27.13
2041,27.32
2042,27.49
2043,27.68
2044,27.91
2045,28.05
2046,28.25
2047,28.47
2048,28.7
2049,28.96
2050,29.28
