year,mean,lower,upper,indicator
1990,0.16684297991548358,0.0935117040976212,0.23705664498361903,hyper
1991,0.17288211769355669,0.09784349642839443,0.2458165130729243,hyper
1992,0.17267568119798882,0.09746224148696943,0.24576880462117295,hyper
1993,0.17238883793574394,0.09729576092056218,0.24536647863623143,hyper
1994,0.17227845472743566,0.09670257594563418,0.24476671106914477,hyper
1995,0.17195365884852337,0.0963557295844581,0.24452547620032564,hyper
1996,0.1723843892613733,0.09592113116567558,0.2443247040727055,hyper
1997,0.17201071077299687,0.09512731572763222,0.24405682647584268,hyper
1998,0.17195390844260172,0.09553552019976431,0.244395823739114,hyper
1999,0.17247129231074762,0.09528869824103686,0.2447973918419137,hyper
2000,0.17261115134663363,0.09530254839688043,0.2442795337504765,hyper
2001,0.1730832299150189,0.09562246948938169,0.2455951415651956,hyper
2002,0.17310376142493256,0.09526023675478074,0.24576463445413224,hyper
2003,0.17379273785364394,0.09550390705254089,0.24725456030514706,hyper
2004,0.17441083511395025,0.09592761778179659,0.24766433318865386,hyper
2005,0.1751674615107871,0.09697141132008678,0.24978991392762082,hyper
2006,0.17611512360015372,0.09801773119313224,0.2503739284129036,hyper
2007,0.1770796657891943,0.0993478069276656,0.25059348851508173,hyper
2008,0.17833552512101253,0.10049189184851297,0.25255960650162523,hyper
2009,0.1797848825234043,0.10232934502819939,0.254437861619005,hyper
2010,0.1807849208132002,0.10306647010071716,0.2554720453018163,hyper
2011,0.18294395751230386,0.10486004771871218,0.2579546006044328,hyper
2012,0.18568056007878098,0.10748443804945079,0.260517001559452,hyper
2013,0.1884260360554132,0.11029791700228385,0.2631420573894669,hyper
2014,0.19058122688575074,0.11205475918563038,0.2651204718867565,hyper
2015,0.1926378387206681,0.11416993101912679,0.26689866495952197,hyper
2016,0.19483028561582919,0.11657133201723074,0.26886720000031655,hyper
2017,0.19864026079570635,0.1200832060209082,0.27361974947325884,hyper
2018,0.20295157151315749,0.12463026651106633,0.27834349766655003,hyper
2019,0.20711197609915552,0.12819809159862794,0.2828815547501324,hyper
2020,0.21353942956243874,0.13371531258083935,0.2895842511729495,hyper
2021,0.2201745561380582,0.13970540627193187,0.29712316425432805,hyper
2022,0.22532350156326178,0.14409374414094556,0.30250105773687724,hyper
2023,0.2319703218771748,0.15001153072185627,0.3099392328096051,hyper
2024,0.2397275164152934,0.15661220909650847,0.31924106505707484,hyper
2025,0.2479727080371868,0.16381058307092602,0.32799975762011047,hyper
2026,0.2563022632251722,0.17140564292105834,0.33616169540084523,hyper
2027,0.26481721186415635,0.1791750489951936,0.3455603194444334,hyper
2028,0.27343113062388297,0.18694387254742686,0.35523454296899987,hyper
2029,0.28086042936880534,0.19303989398317717,0.3631962957920577,hyper
2030,0.2882185387893034,0.19973557003589948,0.3713163578355674,hyper
2031,0.2958204003924089,0.20626322569792999,0.3794194260897608,hyper
2032,0.3028265292688403,0.21246878671060218,0.3870066630063942,hyper
2033,0.3096287166186771,0.21829038911524332,0.3940422177208582,hyper
2034,0.3159366203060707,0.22381316746396646,0.4015359341100809,hyper
2035,0.32221393012381827,0.22898824563626735,0.40853785413247096,hyper
2036,0.3287342185724826,0.23484092684224808,0.4150231324279481,hyper
2037,0.3350266063353684,0.23957955762013686,0.4224384424821497,hyper
2038,0.3411896026987967,0.2445231092592905,0.429745787389548,hyper
2039,0.3471606386208772,0.2505878711523261,0.4357250574203167,hyper
2040,0.3532341405738645,0.2560425462235334,0.4425354778291173,hyper
2041,0.3591080777490405,0.261309254441464,0.4491160310155209,hyper
2042,0.36516820617367146,0.2667525448280404,0.45556430003678827,hyper
2043,0.3715471195918693,0.27258575737005003,0.4627925687701833,hyper
2044,0.3777541530907229,0.2775319836650757,0.46921369997716944,hyper
2045,0.38405192260287224,0.28367355641357533,0.47601745559509845,hyper
2046,0.390310549456446,0.2894605219919317,0.481899099632845,hyper
2047,0.39592020104242215,0.29478505151143386,0.4889816917649477,hyper
2048,0.40146327577261764,0.2997062751167364,0.49458165169141444,hyper
2049,0.40685928247231273,0.3044757413993708,0.501187429981575,hyper
2050,0.4124954066989369,0.3098235727657278,0.5070702157055995,hyper
1990,0.327508875739645,0.25260355029585796,0.39454142011834314,diab
1991,0.3345342702662861,0.2584998897880833,0.40614631975946325,diab
1992,0.3330045002963962,0.2541098339228049,0.406603083585807,diab
1993,0.3325263716309557,0.2546477583461546,0.4086002078148973,diab
1994,0.3303068450176943,0.2514837905236908,0.4036028022355747,diab
1995,0.3299863998423257,0.2493442955376383,0.4072176333269413,diab
1996,0.3317210996660204,0.2534632671701319,0.4065024971878515,diab
1997,0.329686568387446,0.2509762774748254,0.40314109114613667,diab
1998,0.32877089928748426,0.2472080758689437,0.4037009729294447,diab
1999,0.32806403923459876,0.2468914994767622,0.4022332306186972,diab
2000,0.3283850763061259,0.24717920796093154,0.40190453996907316,diab
2001,0.32884015809798256,0.24894473044949053,0.4030138034656107,diab
2002,0.32679440512746744,0.24603755742593023,0.4008889617969642,diab
2003,0.32560463751086743,0.24630269678668917,0.4006998073949786,diab
2004,0.3266696338500335,0.24691551160190936,0.4023725592553158,diab
