category,year,result
18-39,2019,"True [95% CI: 0.014-0.071], obs=0.033"
40-54,2019,"True [95% CI: 0.036-0.168], obs=0.067"
55-69,2019,"False [95% CI: 0.147-0.324], obs=0.147"
70-74,2019,"False [95% CI: 0.289-0.472], obs=0.280"
18-39,2022,"True [95% CI: 0.021-0.084], obs=0.059"
40-54,2022,"True [95% CI: 0.043-0.176], obs=0.108"
55-69,2022,"True [95% CI: 0.159-0.337], obs=0.216"
70-74,2022,"True [95% CI: 0.299-0.483], obs=0.360"
18-39,2024,"True [95% CI: 0.031-0.099], obs=0.058"
40-54,2024,"True [95% CI: 0.053-0.189], obs=0.128"
55-69,2024,"True [95% CI: 0.171-0.353], obs=0.232"
70-74,2024,"True [95% CI: 0.310-0.498], obs=0.350"
