gen_thresh,diab_thresh,hyper_thresh,TP,FN,FP,TN,Total_Screened,NNS,sensitivity,specificity
60,60,60,4175913,1506627,2184247,6888010,6448477,1.5442076978136279,0.734867330454339,0.7592388531321368
60,60,55,4435873,1246667,2479138,6593119,6994987,1.5769132705106752,0.7806144787366213,0.7267341522622209
60,60,50,4607733,1074807,2718638,6353619,7397571,1.6054686762449126,0.8108579966001119,0.7003349883055562
60,60,45,4712327,970213,2890713,6181544,7666407,1.6268834908952625,0.8292642022757429,0.6813678228030797
60,60,40,4773691,908849,3019974,6052283,7852679,1.6449910561869212,0.8400628944098941,0.667119879871128
60,60,35,4806343,876197,3111916,5960341,7975215,1.6593104154239513,0.845808916435256,0.6569854667917807
60,55,55,4457125,1225415,2492670,6579587,7027282,1.5766400987183442,0.7843543556226616,0.7252425719421308
60,55,50,4628985,1053555,2732170,6340087,7429866,1.6050745465798657,0.8145978734861523,0.6988434079854661
60,55,45,4733579,948961,2904245,6168012,7698702,1.6264019254775297,0.8330040791617833,0.6798762424829896
60,55,40,4794943,887597,3033506,6038751,7884974,1.6444353978764712,0.8438027712959346,0.6656282995510379
60,55,35,4827595,854945,3125448,5946809,8007510,1.6586954788046635,0.8495487933212965,0.6554938864716906
60,50,50,4646283,1036257,2746048,6326209,7458499,1.605261453079806,0.817641934768607,0.6973136894159855
60,50,45,4750877,931663,2918123,6154134,7727335,1.6265070638536843,0.8360481404442379,0.678346523913509
60,50,40,4812241,870299,3047384,6024873,7913607,1.644474372750658,0.8468468325783892,0.6640985809815573
60,50,35,4844893,837647,3139326,5932931,8036143,1.6586832774222258,0.8525928546037511,0.65396416790221
60,45,45,4764761,917779,2931828,6140429,7752511,1.6270513883067796,0.838491414050759,0.6768358744687237
60,45,40,4826125,856415,3061089,6011168,7938783,1.644960087026341,0.8492901061849103,0.662587931536772
60,45,35,4858777,823763,3153031,5919226,8061319,1.65912512552027,0.8550361282102722,0.6524535184574246
60,40,40,4835305,847235,3072325,5999932,7957226,1.6456513084490016,0.8509055809549955,0.661349430466972
60,40,35,4867957,814583,3164267,5907990,8079762,1.659784998100846,0.8566516029803574,0.6512150173876247
60,35,35,4872553,809987,3171513,5900744,8090402,1.6604030782220327,0.8574603962312628,0.650416318673512
55,55,55,4566942,1115598,2683071,6389186,7326300,1.6042025495397139,0.8036796925318608,0.7042554019358138
