parti,gen_thresh,diab_thresh,hyper_thresh,TP,FN,FP,TN,Total_Screened,NNS,sensitivity,specificity,Dist_to_Perfect
0.6,35,35,35,1149940,909617,838902,776216,3960010,3.4436666260848394,0.5583433718998795,0.48059398756004207,0.6817940912794316
0.6,40,35,35,1149675,909882,838660,776458,3762473,3.2726405288451086,0.5582147034532183,0.4807438218136384,0.6817633217104264
0.6,40,40,35,1149671,909886,838660,776458,3758127,3.268871703295986,0.5582127612879857,0.4807438218136384,0.6817645802426912
0.6,40,40,40,1149606,909951,838596,776522,3709428,3.2266950590028234,0.5581812011029557,0.48078344740136636,0.6817548529722665
0.6,45,35,35,1148727,910830,837821,777297,3583178,3.119259841546338,0.5577544102930873,0.48126328850275957,0.6816662948028062
0.6,45,40,35,1148723,910834,837821,777297,3578832,3.1154873716291918,0.5577524681278547,0.48126328850275957,0.6816675548256462
0.6,45,40,40,1148658,910899,837757,777361,3530133,3.073267238812597,0.5577209079428246,0.48130291409048753,0.6816578776790742
0.6,45,45,35,1148691,910866,837791,777327,3571443,3.1091416229429845,0.5577369308059937,0.48128186299700704,0.6816635005842385
0.6,45,45,40,1148626,910931,837727,777391,3522744,3.0669199547981676,0.5577053706209636,0.481321488584735,0.6816538251792432
0.6,45,45,45,1148221,911336,837363,777755,3448127,3.003016840834648,0.5575087263911608,0.4815468591149377,0.6816099959020253
0.6,50,35,35,1147016,912541,835970,779148,3424646,2.9857002866568556,0.5569236491148339,0.482409334797829,0.6813345356123823
0.6,50,40,35,1147012,912545,835970,779148,3420300,2.981921723573947,0.5569217069496013,0.482409334797829,0.6813357986168648
0.6,50,40,40,1146947,912610,835906,779212,3371601,2.9396310378770774,0.5568901467645713,0.48244896038555696,0.6813262218939721
0.6,50,45,35,1146980,912577,835940,779178,3412911,2.9755627822629864,0.5569061696277403,0.4824279092920765,0.6813317925898745
0.6,50,45,40,1146915,912642,835876,779242,3364212,2.9332705562312813,0.5568746094427103,0.4824675348798044,0.6813222176106816
0.6,50,45,45,1146510,913047,835512,779606,3289595,2.8692248650251635,0.5566779652129075,0.4826929054100072,0.6812789859087889
0.6,50,50,35,1146871,912686,835835,779283,3402802,2.9670311656672808,0.5568532456251515,0.48249292002194266,0.6813168306598464
0.6,50,50,40,1146806,912751,835771,779347,3354103,2.92473443633884,0.5568216854401213,0.4825325456096706,0.6813072617030751
0.6,50,50,45,1146401,913156,835407,779711,3279486,2.860679640021249,0.5566250412103185,0.48275791613987334,0.6812640658347672
0.6,50,50,50,1145142,914415,834003,781115,3170154,2.7683501260105734,0.5560137447033513,0.4836272024706554,0.6810026878952993
0.6,55,35,35,1144599,914958,833046,782072,3286179,2.871030815158846,0.555750095773023,0.48421972883715,0.6807255434655742
0.6,55,40,35,1144595,914962,833046,782072,3281833,2.867243872286704,0.5557481536077904,0.48421972883715,0.6807268109482031
0.6,55,40,40,1144530,915027,832982,782136,3233134,2.8248573650319346,0.5557165934227604,0.48425935442487794,0.6807173854531119
0.6,55,45,35,1144563,914994,833016,782102,3274444,2.8608682964589978,0.5557326162859294,0.48423830333139745,0.6807228775225795
0.6,55,45,40,1144498,915059,832952,782166,3225745,2.818480241992559,0.5557010561008994,0.4842779289191254,0.6807134537746428
0.6,55,45,45,1144093,915464,832588,782530,3151128,2.7542586135917273,0.5555044118710966,0.4845032994493282,0.6806711218677408
0.6,55,50,35,1144454,915103,832911,782207,3264335,2.852307738013061,0.5556796922833406,0.48430331406126365,0.6807081663515009
0.6,55,50,40,1144389,915168,832847,782271,3215636,2.8099151599674586,0.5556481320983104,0.4843429396489916,0.6806987486381653
0.6,55,50,45,1143984,915573,832483,782635,3141019,2.7456843802011215,0.5554514878685076,0.48456831017919433,0.6806564526322033
0.6,55,50,50,1142725,916832,831079,784039,3031687,2.653032881926973,0.5548401913615404,0.48543759650997637,0.6803982086340761
0.6,55,55,35,1144218,915339,832689,782429,3252919,2.842918919296847,0.5555651045346159,0.48444076531869495,0.680678852890627
0.6,55,55,40,1144153,915404,832625,782493,3204220,2.800517063714381,0.5555335443495859,0.4844803909064229,0.6806694480865407
0.6,55,55,45,1143748,915809,832261,782857,3129603,2.7362697027666933,0.5553369001197831,0.4847057614366257,0.6806272288791357
0.6,55,55,50,1142489,917068,830857,784261,3020271,2.6435886910070905,0.5547256036128158,0.48557504776740773,0.6803692523604195
0.6,55,55,55,1139169,920388,827067,788051,2855626,2.5067623855635115,0.5531136064697408,0.4879216255406726,0.6796555821233199
0.6,60,35,35,1138194,921363,823755,791363,3164262,2.7800726413950523,0.5526402036942896,0.4899722497055943,0.6784239776283407
0.6,60,40,35,1138190,921367,823755,791363,3159916,2.7762640683892847,0.5526382615290569,0.4899722497055943,0.6784252583137785
0.6,60,40,40,1138125,921432,823691,791427,3111217,2.733633827567271,0.5526067013440269,0.49001187529332224,0.6784162815146071
0.6,60,45,35,1138158,921399,823725,791393,3152527,2.7698500559676247,0.552622724207196,0.48999082419984175,0.6784215402654512
0.6,60,45,40,1138093,921464,823661,791457,3103828,2.727218250178149,0.5525911640221659,0.4900304497875697,0.6784125652248113
0.6,60,45,45,1137688,921869,823297,791821,3029211,2.662602576453298,0.5523945197923631,0.49025582031777243,0.6783729023419319
0.6,60,50,35,1138049,921508,823620,791498,3142418,2.761232600705242,0.5525698002046071,0.49005583492970795,0.678407573054858
0.6,60,50,40,1137984,921573,823556,791562,3093719,2.718596219279006,0.5525382400195771,0.49009546051743585,0.6783986040888523
0.6,60,50,45,1137579,921978,823192,791926,3019102,2.6539712846316608,0.5523415957897742,0.49032083104763863,0.6783589773298616
0.6,60,50,50,1136320,923237,821788,793330,2909770,2.56069593072374,0.5517302992828069,0.49119011737842067,0.678110036228979
0.6,60,55,35,1137813,921744,823398,791720,3131002,2.751772039869469,0.5524552124558825,0.49019328618713925,0.6783798510470203
0.6,60,55,40,1137748,921809,823334,791784,3082303,2.7091262740079527,0.5524236522708524,0.4902329117748672,0.6783708950744373
0.6,60,55,45,1137343,922214,822970,792148,3007686,2.6444845574290254,0.5522270080410496,0.49045828230507,0.6783313455822088
0.6,60,55,50,1136084,923473,821566,793552,2898354,2.5511793142056396,0.5516157115340823,0.491327568635852,0.6780826738481092
0.6,60,55,55,1132764,926793,817776,797342,2733709,2.4133085090981,0.5500037143910074,0.49367414640911683,0.677393923117433
0.6,60,60,35,1136812,922745,822314,792804,3117874,2.742646981207095,0.5519691856064193,0.4908644445792815,0.6781965971897371
0.6,60,60,40,1136747,922810,822250,792868,3069175,2.6999631404349427,0.5519376254213891,0.4909040701670095,0.6781877006298039
0.6,60,60,45,1136342,923215,821886,793232,2994558,2.6352612153735406,0.5517409811915863,0.4911294406972122,0.67814850443558
0.6,60,60,50,1135083,924474,820482,794636,2885226,2.541863458443127,0.5511296846846191,0.49199872702799424,0.6779010645459319
0.6,60,60,55,1131763,927794,816692,798426,2720581,2.403843384171421,0.5495176875415442,0.4943453048012591,0.6772156116145355
0.6,60,60,60,1116178,943379,797448,817670,2497592,2.2376287653044584,0.5419505262539468,0.5062602237112087,0.673489633987593
0.8,35,35,35,1170235,889322,844797,770321,3994990,3.4138356825765763,0.5681974327488872,0.4769440994404124,0.6782631732556714
0.8,40,35,35,1169961,889596,844570,770548,3797852,3.2461355549458486,0.5680643944304528,0.477084646446885,0.6782395110433413
0.8,40,40,35,1169957,889600,844569,770549,3793539,3.2424601929814516,0.5680624522652201,0.47708526559669323,0.6782402705525646
0.8,40,40,40,1169889,889668,844507,770611,3744599,3.2008156329361164,0.5680294354562656,0.4771236528848047,0.6782317030372164
0.8,45,35,35,1169031,890526,843807,771311,3619130,3.0958374927610985,0.5676128410138686,0.4775570577505792,0.6781631685386119
0.8,45,40,35,1169027,890530,843806,771312,3614817,3.0921586926563713,0.5676108988486359,0.4775576769003875,0.6781639298578217
