"AverageAge","P1","P2"
28,0.0141937330175034,0
33,0.0157041238069846,0.0150987382164939
38,0.0186483270175067,0.0308547997690627
43,0.0228083353457395,0.0377196356180121
48,0.0292991734692188,0.0665105607189588
53,0.0368294379773296,0.101697172512485
58,0.043743963427846,0.12122528214587
63,0.050056290333047,0.13252306919485
68,0.0559512854862974,0.139659126709254
73,0.0622754580768637,0.144763440693059
78,0.0693637698295177,0.148652071511914
83,0.0773971806620966,0.151713108795135
88,0.0866148923599141,0.154185340196818
