"AverageAge","P1","P2"
28,0.0132509334165027,0
33,0.0146609985318345,0.0120789905731952
38,0.0174096370090534,0.0246838398152503
43,0.0212933223863626,0.0301757084944099
48,0.0273530153286954,0.0532084485751674
53,0.0343830921578552,0.0813577380099884
58,0.0408383295671059,0.0969802257166967
63,0.0467313686584337,0.10601845535588
68,0.0522347966974138,0.111727301367404
73,0.0581388946404091,0.115810752554448
78,0.0647563748307159,0.118921657209532
83,0.0722561771673275,0.121370487036109
88,0.0808616147791013,0.123348272157455
