male_chn transition probabilities:
Age	P1	P2
26	0.010	0.000
27	0.010	0.000
28	0.010	0.000
29	0.010	0.000
30	0.010	0.000
31	0.011	0.009
32	0.011	0.009
33	0.011	0.009
34	0.011	0.009
35	0.011	0.009
36	0.013	0.018
37	0.013	0.018
38	0.013	0.018
39	0.013	0.018
40	0.013	0.018
41	0.016	0.022
42	0.016	0.022
43	0.016	0.022
44	0.016	0.022
45	0.016	0.022
46	0.021	0.039
47	0.021	0.039
48	0.021	0.039
49	0.021	0.039
50	0.021	0.039
51	0.027	0.059
52	0.027	0.059
53	0.027	0.059
54	0.027	0.059
55	0.027	0.059
56	0.032	0.071
57	0.032	0.071
58	0.032	0.071
59	0.032	0.071
60	0.032	0.071
61	0.036	0.077
62	0.036	0.077
63	0.036	0.077
64	0.036	0.077
65	0.036	0.077
66	0.040	0.081
67	0.040	0.081
68	0.040	0.081
69	0.040	0.081
70	0.040	0.081
71	0.045	0.084
72	0.045	0.084
73	0.045	0.084
74	0.045	0.084
75	0.045	0.084
76	0.050	0.087
77	0.050	0.087
78	0.050	0.087
79	0.050	0.087
80	0.050	0.087
81	0.056	0.088
82	0.056	0.088
83	0.056	0.088
84	0.056	0.088
85	0.056	0.088
86	0.063	0.090
87	0.063	0.090
88	0.063	0.090
89	0.063	0.090
90	0.063	0.090
