Data Series,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Male Age Specific Death Rate,6.9,6.9,6.5,5.9,5.6,5.6,5.5,5.3,5.2,5.2,5.1,5,4.9,4.8,4.7,4.9,5,4.8,4.9,4.9,5,4.8,4.8,4.9,4.9,5,4.9,5.2,5.4,5.2,5,5.2,5.1,5.1
  Under 1 Year,1.9,1.9,1.6,2.1,1.8,2.3,2,2.3,2.2,1.9,1.8,2,2.3,1.9,2.6,2.6,2.6,2.8,2.4,2.2,2.8,3.4,2.4,2.8,3.2,4.1,4,3.5,4.3,4.3,5,5.2,5.8,7.1
  1 - 4 Years,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.4
  5 - 9 Years,0.1,0.1,-,-,0.1,-,0.1,0.1,0.1,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2
  10 - 14 Years,0.2,0.2,0.1,0.1,-,0.1,0.1,0.2,0.1,-,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.2,0.3
  15 - 19 Years,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.5,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5
  20 - 24 Years,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.6,0.5,0.6,0.7,0.8,0.6,0.7,0.7,0.7,0.6,0.8,0.7,0.7,0.7,0.8,0.8,0.7,0.8
  25 - 29 Years,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.7,0.5,0.5,0.4,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.8,0.8,0.8
  30 - 34 Years,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.4,0.5,0.4,0.6,0.5,0.5,0.6,0.6,0.7,0.8,0.6,0.7,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.9,0.9,0.9
  35 - 39 Years,0.6,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,1,0.9,0.9,1.1,1,1.3,1,1.1,1,1.2,1.3,1.3,1,1.2,1.2,1.4
  40 - 44 Years,1,1.1,1,1,1,0.9,1.1,1.1,1.1,1.3,1.2,1.2,1,1.3,1.2,1.4,1.5,1.6,1.5,1.6,1.6,1.6,1.6,1.8,1.7,1.7,1.9,2,1.8,2,2,2.1,1.9,2.1
  45 - 49 Years,1.7,1.8,1.9,1.6,1.7,1.8,1.7,1.7,1.9,1.7,2,1.9,2.2,2.2,2,2.4,2.3,2.3,2.4,2.4,2.7,2.7,2.5,2.7,2.5,2.8,2.6,3.1,3.6,3.2,3.4,3.7,3.4,4
  50 - 54 Years,2.8,3,2.9,2.8,2.6,2.8,3.1,3.1,3.1,3,3.4,3.1,3.6,3.9,3.9,4,4.1,4,4.4,4.2,4.2,4.3,4.7,4.2,4.7,4.9,5.3,5.9,5.8,6,6.1,6.1,6.7,6.8
