sim_year,agent_gender,agent_race,albumin_scenario,eGFR_stage,age_group,mortality_rate
1990,female,chinese,0,1,0,0.0062
1990,female,chinese,0,2,0,0.0062
1990,female,chinese,0,1,1-4,0.0002
1990,female,chinese,0,2,1-4,0.0002
1990,female,chinese,0,1,10-14,0.0002
1990,female,chinese,0,2,10-14,0.0002
1990,female,chinese,0,1,15-19,0.0002
1990,female,chinese,0,2,15-19,0.0002
1990,female,chinese,0,1,20-24,0.0004
1990,female,chinese,0,2,20-24,0.0004
1990,female,chinese,0,1,25-29,0.0004
1990,female,chinese,0,2,25-29,0.0004
1990,female,chinese,0,1,30-34,0.0006
1990,female,chinese,0,2,30-34,0.0006
1990,female,chinese,0,1,35-39,0.001
1990,female,chinese,0,2,35-39,0.001
1990,female,chinese,0,1,40-44,0.0014
1990,female,chinese,0,2,40-44,0.0014
1990,female,chinese,0,1,45-49,0.0023998175043722907
1990,female,chinese,0,2,45-49,0.0023998175043722907
1990,female,chinese,0,3.1,45-49,0.002879781005246749
1990,female,chinese,0,1,5-9,0.0001
1990,female,chinese,0,2,5-9,0.0001
1990,female,chinese,0,1,50-54,0.004198575546888249
1990,female,chinese,0,2,50-54,0.004198575546888249
1990,female,chinese,0,3.1,50-54,0.0050382906562658975
1990,female,chinese,0,1,55-59,0.007390982024982229
1990,female,chinese,0,2,55-59,0.007390982024982229
1990,female,chinese,0,3.1,55-59,0.008869178429978674
1990,female,chinese,0,1,60-64,0.01084923572963936
1990,female,chinese,0,2,60-64,0.01084923572963936
1990,female,chinese,0,3.1,60-64,0.013019082875567231
1990,female,chinese,0,3.2,60-64,0.01952862431335085
1990,female,chinese,0,1,65-69,0.01830779095864059
1990,female,chinese,0,2,65-69,0.01830779095864059
1990,female,chinese,0,3.1,65-69,0.021969349150368706
1990,female,chinese,0,3.2,65-69,0.03295402372555306
1990,female,chinese,0,1,70-74,0.030011693171188028
1990,female,chinese,0,2,70-74,0.030011693171188028
1990,female,chinese,0,3.1,70-74,0.03601403180542563
1990,female,chinese,0,3.2,70-74,0.054021047708138446
1990,female,chinese,0,4,70-74,0.09603741814780169
1990,female,chinese,0,1,75-79,0.044141015216633654
1990,female,chinese,0,2,75-79,0.044141015216633654
1990,female,chinese,0,3.1,75-79,0.05296921825996038
1990,female,chinese,0,3.2,75-79,0.07945382738994058
1990,female,chinese,0,4,75-79,0.1412512486932277
1990,female,chinese,0,5,75-79,0.2604319897781386
1990,female,chinese,0,1,80-84,0.07572987241531007
1990,female,chinese,0,2,80-84,0.07572987241531007
1990,female,chinese,0,3.1,80-84,0.09087584689837208
1990,female,chinese,0,3.2,80-84,0.13631377034755812
1990,female,chinese,0,1,85+,0.12379422382671479
1990,female,chinese,0,2,85+,0.12379422382671479
1990,female,chinese,0,3.1,85+,0.14855306859205775
1990,female,chinese,0,3.2,85+,0.22282960288808662
1990,female,chinese,0,4,85+,0.3961415162454874
1990,female,chinese,1,1,0,0.0062
1990,female,chinese,1,1,1-4,0.0002
1990,female,chinese,1,2,1-4,0.0002
1990,female,chinese,1,1,10-14,0.0002
1990,female,chinese,1,2,10-14,0.0002
1990,female,chinese,1,1,15-19,0.0002
1990,female,chinese,1,2,15-19,0.0002
1990,female,chinese,1,1,20-24,0.0004
1990,female,chinese,1,2,20-24,0.0004
1990,female,chinese,1,1,25-29,0.0004
1990,female,chinese,1,2,25-29,0.0004
1990,female,chinese,1,1,30-34,0.0006
1990,female,chinese,1,2,30-34,0.0006
1990,female,chinese,1,1,35-39,0.001
1990,female,chinese,1,2,35-39,0.001
1990,female,chinese,1,1,40-44,0.0013997981060423978
1990,female,chinese,1,2,40-44,0.0013997981060423978
1990,female,chinese,1,3.1,40-44,0.0016797577272508772
1990,female,chinese,1,1,45-49,0.0023996350364963504
1990,female,chinese,1,2,45-49,0.0023996350364963504
1990,female,chinese,1,3.1,45-49,0.0028795620437956203
1990,female,chinese,1,1,5-9,0.0001
1990,female,chinese,1,2,5-9,0.0001
1990,female,chinese,1,1,50-54,0.004198931569575171
1990,female,chinese,1,2,50-54,0.004198931569575171
1990,female,chinese,1,3.1,50-54,0.005038717883490205
1990,female,chinese,1,1,55-59,0.007381986002637186
1990,female,chinese,1,2,55-59,0.007381986002637186
1990,female,chinese,1,3.1,55-59,0.008858383203164621
1990,female,chinese,1,3.2,55-59,0.013287574804746934
1990,female,chinese,1,1,60-64,0.01084923572963936
1990,female,chinese,1,2,60-64,0.01084923572963936
