ethnicity,gender,age,para_lower,para_upper
Chinese,male,1,0.066236,0.090119
Chinese,male,2,0.009065,0.035271
Chinese,male,3,0.007121,0.024069
Chinese,male,4,0.005614,0.017979
Chinese,male,5,0.004344,0.013330
Chinese,male,6,0.002776,0.013245
Chinese,male,7,0.001460,0.010506
Chinese,male,8,0.001378,0.007204
Chinese,male,9,0.001366,0.045840
Chinese,male,10,0.001176,0.004300
Chinese,male,11,0.001201,0.060519
Chinese,male,12,0.001441,0.006793
Chinese,male,13,0.001200,0.005711
Chinese,male,14,0.001108,0.004278
Chinese,male,15,0.001077,0.046576
Chinese,male,16,0.001168,0.004388
Chinese,male,17,0.001165,0.005461
Chinese,male,18,0.002311,0.009430
Chinese,male,19,0.001053,0.006836
Chinese,male,20,0.001180,0.002054
Chinese,male,21,0.001093,0.001093
Chinese,male,22,0.006883,0.006883
Chinese,male,23,0.002108,0.017557
Chinese,male,24,0.009401,0.030026
Chinese,male,25,0.008922,0.029257
Chinese,male,26,0.007074,0.035678
Chinese,male,27,0.008714,0.031678
Chinese,male,28,0.003314,0.032711
Chinese,male,29,0.004036,0.028542
Chinese,male,30,0.001959,0.024020
Chinese,male,31,0.000989,0.021999
Chinese,male,32,0.001974,0.013453
Chinese,male,33,0.004908,0.011760
Chinese,male,34,0.004624,0.012170
Chinese,male,35,0.001843,0.008721
Chinese,male,36,0.001839,0.007081
Chinese,male,37,0.000895,0.004800
Chinese,male,38,0.000956,0.005736
Chinese,male,39,0.000953,0.005273
Chinese,male,40,0.000960,0.002692
Chinese,male,41,0.001893,0.002864
Chinese,male,42,0.000997,0.002871
Chinese,male,43,0.002716,0.002716
Chinese,male,44,0.000899,0.002731
Chinese,male,45,0.002573,0.002704
Chinese,male,46,0.000917,0.001917
Chinese,male,47,0.000909,0.001942
Chinese,male,48,0.000000,0.000000
Chinese,male,49,0.000000,0.000000
Chinese,male,50,0.000000,0.000000
Chinese,female,1,0.065520,0.094480
Chinese,female,2,0.011141,0.038914
Chinese,female,3,0.007762,0.025029
Chinese,female,4,0.001471,0.017110
Chinese,female,5,0.006118,0.014544
Chinese,female,6,0.004368,0.011262
Chinese,female,7,0.001520,0.011203
Chinese,female,8,0.001441,0.008831
Chinese,female,9,0.001520,0.027554
Chinese,female,10,0.001431,0.004563
Chinese,female,11,0.001292,0.043478
Chinese,female,12,0.001290,0.004269
Chinese,female,13,0.001287,0.007482
Chinese,female,14,0.001177,0.006007
Chinese,female,15,0.001537,0.053688
Chinese,female,16,0.001129,0.009229
Chinese,female,17,0.001086,0.008553
Chinese,female,18,0.002241,0.016989
Chinese,female,19,0.002244,0.010910
Chinese,female,20,0.001196,0.009221
Chinese,female,21,0.002640,0.009042
Chinese,female,22,0.001084,0.014859
Chinese,female,23,0.006548,0.027778
Chinese,female,24,0.015124,0.041852
Chinese,female,25,0.019940,0.041869
Chinese,female,26,0.020559,0.045792
Chinese,female,27,0.013462,0.044501
Chinese,female,28,0.013328,0.042789
Chinese,female,29,0.011199,0.037813
Chinese,female,30,0.008113,0.030014
Chinese,female,31,0.006268,0.023947
Chinese,female,32,0.003593,0.017181
Chinese,female,33,0.004360,0.015489
Chinese,female,34,0.004482,0.011196
Chinese,female,35,0.000859,0.009729
Chinese,female,36,0.002602,0.006919
Chinese,female,37,0.001778,0.005921
Chinese,female,38,0.000846,0.005313
Chinese,female,39,0.000850,0.005638
Chinese,female,40,0.000868,0.003531
Chinese,female,41,0.000861,0.004286
Chinese,female,42,0.000808,0.006061
Chinese,female,43,0.000807,0.001634
Chinese,female,44,0.000859,0.001749
Chinese,female,45,0.000807,0.001650
Chinese,female,46,0.000000,0.000000
Chinese,female,47,0.000784,0.001616
Chinese,female,48,0.000000,0.000000
Chinese,female,49,0.000841,0.000841
Chinese,female,50,0.000842,0.001762
Malay,male,1,0.019503,0.032310
Malay,male,2,0.004871,0.006483
Malay,male,3,0.005294,0.006427
Malay,male,4,0.006146,0.006479
Malay,male,5,0.000000,0.000000
Malay,male,6,0.006124,0.006384
Malay,male,7,0.006150,0.006464
Malay,male,8,0.006386,0.006386
Malay,male,9,0.006116,0.043034
Malay,male,10,0.005838,0.006347
Malay,male,11,0.005839,0.029448
Malay,male,12,0.000000,0.000000
Malay,male,13,0.005397,0.051056
Malay,male,14,0.005822,0.005822
Malay,male,15,0.004629,0.047125
Malay,male,16,0.005381,0.005381
Malay,male,17,0.004631,0.057906
Malay,male,18,0.004351,0.009716
Malay,male,19,0.004183,0.017774
Malay,male,20,0.004439,0.004439
Malay,male,21,0.030402,0.030402
Malay,male,22,0.000000,0.000000
Malay,male,23,0.003941,0.012769
Malay,male,24,0.003970,0.004185
Malay,male,25,0.003939,0.003939
Malay,male,26,0.003863,0.003863
Malay,male,27,0.004059,0.004059
Malay,male,28,0.000000,0.000000
Malay,male,29,0.004026,0.004946
Malay,male,30,0.000000,0.000000
Malay,male,31,0.004756,0.005130
Malay,male,32,0.004370,0.007042
Malay,male,33,0.004965,0.007158
Malay,male,34,0.000000,0.000000
Malay,male,35,0.005234,0.005234
Malay,male,36,0.005528,0.006376
Malay,male,37,0.005124,0.005124
Malay,male,38,0.000000,0.000000
Malay,male,39,0.000000,0.000000
Malay,male,40,0.006229,0.006585
Malay,male,41,0.006673,0.007267
Malay,male,42,0.000000,0.000000
Malay,male,43,0.005901,0.007402
Malay,male,44,0.000000,0.000000
Malay,male,45,0.004662,0.020250
Malay,male,46,0.005970,0.005970
Malay,male,47,0.000000,0.000000
Malay,male,48,0.000000,0.000000
Malay,male,49,0.000000,0.000000
Malay,male,50,0.004652,0.004652
Malay,female,1,0.018599,0.027571
Malay,female,2,0.005610,0.006923
Malay,female,3,0.005914,0.006918
Malay,female,4,0.006353,0.006640
Malay,female,5,0.005907,0.006711
Malay,female,6,0.006122,0.006859
Malay,female,7,0.000000,0.000000
Malay,female,8,0.006392,0.006392
Malay,female,9,0.006221,0.011390
Malay,female,10,0.006107,0.006107
Malay,female,11,0.006386,0.048557
Malay,female,12,0.000000,0.000000
Malay,female,13,0.041110,0.041110
Malay,female,14,0.006177,0.006177
Malay,female,15,0.005131,0.053645
Malay,female,16,0.004871,0.005392
Malay,female,17,0.004860,0.045443
Malay,female,18,0.004446,0.005101
Malay,female,19,0.004526,0.018344
Malay,female,20,0.004432,0.004827
Malay,female,21,0.004084,0.028090
Malay,female,22,0.004378,0.004378
Malay,female,23,0.004108,0.022584
Malay,female,24,0.004595,0.004595
Malay,female,25,0.004224,0.005015
Malay,female,26,0.004083,0.004235
Malay,female,27,0.004085,0.005023
Malay,female,28,0.004087,0.005192
Malay,female,29,0.004072,0.011195
Malay,female,30,0.004552,0.005590
Malay,female,31,0.004865,0.004939
Malay,female,32,0.004870,0.005579
Malay,female,33,0.004907,0.006551
Malay,female,34,0.005102,0.010551
Malay,female,35,0.006359,0.006359
Malay,female,36,0.005537,0.006244
Malay,female,37,0.006061,0.006137
Malay,female,38,0.005698,0.006317
Malay,female,39,0.000000,0.000000
Malay,female,40,0.006359,0.006359
Malay,female,41,0.000000,0.000000
Malay,female,42,0.006347,0.006347
Malay,female,43,0.000000,0.000000
Malay,female,44,0.000000,0.000000
Malay,female,45,0.011554,0.011554
Malay,female,46,0.000000,0.000000
Malay,female,47,0.005623,0.005623
Malay,female,48,0.004496,0.004500
Malay,female,49,0.004746,0.004746
Malay,female,50,0.000000,0.000000
Indian,male,1,0.134228,0.235911
Indian,male,2,0.010091,0.101810
Indian,male,3,0.007380,0.097508
Indian,male,4,0.014149,0.104932
Indian,male,5,0.035057,0.070387
Indian,male,6,0.007463,0.046816
Indian,male,7,0.015649,0.087368
Indian,male,8,0.007713,0.026098
Indian,male,9,0.007189,0.225593
Indian,male,10,0.007825,0.007834
Indian,male,11,0.007174,0.227898
Indian,male,12,0.007337,0.007337
Indian,male,13,0.189534,0.189534
Indian,male,14,0.000000,0.000000
Indian,male,15,0.159597,0.159597
Indian,male,16,0.000000,0.000000
Indian,male,17,0.008251,0.131234
Indian,male,18,0.000000,0.000000
Indian,male,19,0.071652,0.071652
Indian,male,20,0.000000,0.000000
Indian,male,21,0.009234,0.045558
Indian,male,22,0.018207,0.037054
Indian,male,23,0.009091,0.037418
Indian,male,24,0.009191,0.028463
Indian,male,25,0.008496,0.047483
Indian,male,26,0.008846,0.054620
Indian,male,27,0.008807,0.068552
Indian,male,28,0.008540,0.074102
Indian,male,29,0.007302,0.078611
Indian,male,30,0.006536,0.058945
