sim_year,agent_gender,agent_age,mortality_rate
1990,female,0,0.0062
1990,female,1,0.0002
1990,female,2,0.0002
1990,female,3,0.0002
1990,female,4,0.0002
1990,female,5,0.0001
1990,female,6,0.0001
1990,female,7,0.0001
1990,female,8,0.0001
1990,female,9,0.0001
1990,female,10,0.0002
1990,female,11,0.0002
1990,female,12,0.0002
1990,female,13,0.0002
1990,female,14,0.0002
1990,female,15,0.0002
1990,female,16,0.0002
1990,female,17,0.0002
1990,female,18,0.0002
1990,female,19,0.0002
1990,female,20,0.0004
1990,female,21,0.0004
1990,female,22,0.0004
1990,female,23,0.0004
1990,female,24,0.0004
1990,female,25,0.0004
1990,female,26,0.0004
1990,female,27,0.0004
1990,female,28,0.0004
1990,female,29,0.0004
1990,female,30,0.0006
1990,female,31,0.0006
1990,female,32,0.0006
1990,female,33,0.0006
1990,female,34,0.0006
1990,female,35,0.001
1990,female,36,0.001
1990,female,37,0.001
1990,female,38,0.001
1990,female,39,0.001
1990,female,40,0.0014
1990,female,41,0.0014
1990,female,42,0.0014
1990,female,43,0.0014
1990,female,44,0.0014
1990,female,45,0.0024
1990,female,46,0.0024
1990,female,47,0.0024
1990,female,48,0.0024
1990,female,49,0.0024
1990,female,50,0.004200000000000001
1990,female,51,0.004200000000000001
1990,female,52,0.004200000000000001
1990,female,53,0.004200000000000001
1990,female,54,0.004200000000000001
1990,female,55,0.0074
1990,female,56,0.0074
1990,female,57,0.0074
1990,female,58,0.0074
1990,female,59,0.0074
1990,female,60,0.0109
1990,female,61,0.0109
1990,female,62,0.0109
1990,female,63,0.0109
1990,female,64,0.0109
1990,female,65,0.018600000000000002
1990,female,66,0.018600000000000002
1990,female,67,0.018600000000000002
1990,female,68,0.018600000000000002
1990,female,69,0.018600000000000002
1990,female,70,0.0313
1990,female,71,0.0313
1990,female,72,0.0313
1990,female,73,0.0313
1990,female,74,0.0313
1990,female,75,0.047799999999999995
1990,female,76,0.047799999999999995
1990,female,77,0.047799999999999995
1990,female,78,0.047799999999999995
1990,female,79,0.047799999999999995
1990,female,80,0.07859999999999999
1990,female,81,0.07859999999999999
1990,female,82,0.07859999999999999
1990,female,83,0.07859999999999999
1990,female,84,0.07859999999999999
1990,female,85,0.12940000000000002
