,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,7.1,5.8,5.2,5.0,4.3,4.3,3.5,4.0,4.1,3.2,2.8,2.4,3.4,2.8,2.2,2.4,2.8,2.6,2.6,2.6,1.9,2.3,2.0,1.8,1.9,2.2,2.3,2.0,2.3,1.8,2.1,1.6,1.9,1.9
1,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2
2,0.2,0.2,0.3,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3,0.3,0.2,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2
4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.5,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.3
5,0.8,0.7,0.8,0.8,0.7,0.7,0.7,0.8,0.6,0.7,0.7,0.7,0.6,0.8,0.7,0.6,0.5,0.6,0.4,0.5,0.4,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.4
6,0.8,0.8,0.8,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.4,0.5,0.5,0.7,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.5
7,0.9,0.9,0.9,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.7,0.6,0.8,0.7,0.6,0.6,0.5,0.5,0.6,0.4,0.5,0.4,0.6,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.5,0.5
8,1.4,1.2,1.2,1.0,1.3,1.3,1.2,1.0,1.1,1.0,1.3,1.0,1.1,0.9,0.9,1.0,0.9,0.9,0.9,0.8,0.8,0.7,0.6,0.6,0.7,0.7,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.6
9,2.1,1.9,2.1,2.0,2.0,1.8,2.0,1.9,1.7,1.7,1.8,1.6,1.6,1.6,1.6,1.5,1.6,1.5,1.4,1.2,1.3,1.0,1.2,1.2,1.3,1.1,1.1,1.1,0.9,1.0,1.0,1.0,1.1,1.0
10,4.0,3.4,3.7,3.4,3.2,3.6,3.1,2.6,2.8,2.5,2.7,2.5,2.7,2.7,2.4,2.4,2.3,2.3,2.4,2.0,2.2,2.2,1.9,2.0,1.7,1.9,1.7,1.7,1.8,1.7,1.6,1.9,1.8,1.7
11,6.8,6.7,6.1,6.1,6.0,5.8,5.9,5.3,4.9,4.7,4.2,4.7,4.3,4.2,4.2,4.4,4.0,4.1,4.0,3.9,3.9,3.6,3.1,3.4,3.0,3.1,3.1,3.1,2.8,2.6,2.8,2.9,3.0,2.8
12,12.0,12.5,10.9,10.5,10.5,10.7,9.7,9.2,9.1,8.3,7.9,8.2,8.4,7.6,7.2,7.5,6.6,6.5,6.6,6.0,5.7,5.9,5.8,5.7,5.8,5.4,5.3,4.8,5.0,4.5,4.7,5.1,4.6,4.9
13,20.8,20.6,20.3,18.4,17.9,18.0,17.9,16.7,16.2,16.0,14.4,13.3,13.1,13.3,12.3,11.7,11.6,11.2,10.6,9.9,9.4,8.9,9.7,8.8,8.4,8.5,8.2,8.2,8.2,7.7,7.9,8.6,8.1,8.1
14,30.1,30.2,31.0,29.2,30.7,29.6,28.1,27.0,27.4,25.1,24.5,23.5,22.6,23.0,21.2,21.7,18.3,19.1,18.3,16.3,16.6,16.4,15.2,14.5,13.8,13.9,13.3,12.9,12.5,11.9,12.0,12.6,13.2,13.5
15,46.9,45.9,46.8,44.9,45.4,46.6,43.1,40.9,41.8,37.8,36.4,36.3,34.0,37.3,34.8,32.0,30.7,32.2,30.3,28.6,27.1,26.0,26.5,26.0,24.4,23.9,22.5,22.9,22.4,20.2,20.5,21.4,21.6,20.3
16,67.3,67.6,68.8,70.0,70.0,74.2,71.1,67.4,64.9,64.2,61.6,54.6,53.7,65.5,57.3,51.3,53.2,52.1,48.8,46.9,45.2,47.2,42.3,43.3,41.0,41.0,38.4,37.4,35.9,35.3,35.5,36.0,36.9,35.6
17,97.2,103.1,97.6,89.9,100.6,105.2,104.0,97.8,103.4,96.2,103.0,90.2,90.3,89.6,87.9,87.5,84.5,86.7,79.5,73.4,76.4,71.3,69.9,68.2,70.6,63.7,66.6,65.5,62.8,63.5,64.0,63.7,69.2,66.7
18,142.3,135.1,147.1,137.5,139.6,151.4,141.0,131.6,135.2,150.5,147.7,143.5,142.5,150.1,146.5,142.3,141.9,145.3,135.8,135.6,140.0,130.8,132.3,131.0,128.5,124.8,124.2,128.9,123.4,122.2,123.3,140.5,152.8,137.1
